Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
17426162909,"CABANA BEVERAGES, INC.",8111 MAINLAND DR STE 104,SAN ANTONIO,TX,78240,15,149,CABANA BEVERAGES INC,698 HIGHWAY 71 W,BASTROP,TX,78602,11,RM610905,Y,10/07/2005,,12/31/2017,$1668,$0,$710,$0,$2378
32060505487,COPPER SHOT DISTILLERY INC.,138 W RIVERSIDE DR,BASTROP,TX,78602,11,1,COPPER SHOT DISTILLERY,601 CHESTNUT ST STE E,BASTROP,TX,78602,11,D 966884,Y,12/15/2016,,12/31/2017,$9521,$0,$0,$0,$9521
32042394505,BONE SPIRITS LLC,802 NE 1ST ST,SMITHVILLE,TX,78957,11,1,BONE SPIRITS LLC,802 NE 1ST ST,SMITHVILLE,TX,78957,11,D 764905,Y,09/01/2013,,12/31/2017,$205,$0,$0,$0,$205
32047684371,LOBLOLLY SPIRITS LLC,6203 RICHARDSON LN,AUSTIN,TX,78741,227,1,LOBLOLLY SPIRITS,114 FEALY RD,RED ROCK,TX,78662,11,D 858175,N,11/25/2013,,12/31/2017,$0,$0,$0,$0,$0
32047942316,DERELICT AIRSHIP LLC,704 HIGHWAY 71 W BLDG B SUITE 300,BASTROP,TX,78602,11,1,DERELICT AIRSHIP DISTILLERY,704 HIGHWAY 71 W,BASTROP,TX,78602,11,D 923822,Y,10/16/2015,,12/31/2017,$0,$0,$0,$0,$0
32053758556,BAS VENTURES LLC,PO BOX 1647,BASTROP,TX,78602,11,1,NEIGHBOR'S,601 CHESTNUT ST UNIT C,BASTROP,TX,78602,11,RM896427,Y,01/29/2015,,12/31/2017,$11103,$2528,$13364,$0,$26995
32047932853,CHRIS TRAPANI,335 FRERICH RD,SMITHVILLE,TX,78957,11,3,URBAN COWBOY VENTURES,813 MAIN ST,BASTROP,TX,78602,11,RM978425,Y,04/10/2017,,12/31/2017,$0,$0,$0,$0,$0
32059464860,FUELED BY RAMEN LLC,PO BOX 999,HUTTO,TX,78634,246,1,JOSEPH'S STEAKHOUSE,197 HIGHWAY 290 E,ELGIN,TX,78621,11,MB940829,Y,04/12/2016,,12/31/2017,$2418,$1615,$918,$0,$4951
32039959658,"UNICO EN SABORES, INC.",PO BOX 999,HUTTO,TX,78634,246,7,MORELIA MEXICAN CAFE,608 W ALAMO ST,ELGIN,TX,78621,11,MB845864,Y,01/01/2016,,12/31/2017,$13316,$516,$6039,$0,$19871
32046127745,"SP BASTROP THEATRE, LP",335 COCHRAN RD,WEATHERFORD,TX,76085,184,1,"SP BASTROP THEATRE, LP",1600 CHESTNUT ST,BASTROP,TX,78602,11,RM805156,Y,04/26/2012,,12/31/2017,$19218,$3143,$20912,$0,$43273
32053898279,"THE CAPRICE, LLC",116 MAIN ST,SMITHVILLE,TX,78957,11,1,THE FRONT ROOM,116 MAIN ST,SMITHVILLE,TX,78957,11,MB900761,Y,03/12/2015,,12/31/2017,$6298,$4760,$2984,$0,$14042
32053675628,"A BAR H ENTERPRISE, LLC",PO BOX 13,RED ROCK,TX,78662,11,1,RED ROCK STEAKHOUSE & SALOON,101 S LENTZ ST,RED ROCK,TX,78662,11,MB879845,N,08/01/2014,,12/31/2017,$13385,$2549,$11011,$0,$26945
32039959658,"UNICO EN SABORES, INC.",PO BOX 999,HUTTO,TX,78634,246,9,MORELIA MEXICAN GRILL,696 HIGHWAY 71 W STE 304,BASTROP,TX,78602,11,RM980227,Y,04/28/2017,,12/31/2017,$14727,$433,$5505,$0,$20665
32053745868,"ARTHUR RACHELLE, LLC",110 LINCOLN ST,BASTROP,TX,78602,11,1,OLD TOWN RESTURANT AND BAR/PINEY CREEK CHOP HOUSE,931 MAIN ST,BASTROP,TX,78602,11,RM874188,Y,06/04/2014,,12/31/2017,$39386,$14919,$40214,$0,$94519
32040366364,HONEY'S PIZZA LLC,1101 W ANDERSON LN,AUSTIN,TX,78757,227,1,HONEY'S PIZZA,109 NE 2ND ST,SMITHVILLE,TX,78957,11,MB904513,Y,04/10/2015,,12/31/2017,$6111,$2187,$3509,$0,$11807
12083763255,"TEXAS GUADALAJARA RESTAURANT, INC.",12822 WILLOW CENTRE DR STE A,HOUSTON,TX,77066,101,1,GUADALAJARA MEXICAN RESTAURANT,494 HIGHWAY 71 W,BASTROP,TX,78602,11,RM659461,Y,05/09/2007,,12/31/2017,$11997,$278,$5483,$0,$17758
32052734947,JL JAIMES LLC,21710 ANN SHOWERS DR,ELGIN,TX,78621,227,1,EL NUEVO MEXICO RESTAURANT BASTROP,201 CHILDERS DR,BASTROP,TX,78602,11,RM828442,Y,03/17/2014,,12/31/2017,$11926,$225,$3302,$0,$15453
